57|8|1|ORI|Orionids                                | annual |1|208.7|94.7|15.9|0.65|0.11|66.53|18|0.578|0.968|81.5|28.7|164.3|30|0|0|1P/Halley                               |                                                                                                                                                      |P   |2) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A> 
58|8|2|ORI|Orionids                                | annual |1|209.8|96.3|16.1|       |       |66.4|       |0.565|0.963|83.2|29.8|164.6|19|0|0|1P/Halley                               |                                                                                                                                                      |P   |3) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
59|8|3|ORI|Orionids                                |2002/08 |1|207.5|94.7|15.5|0.78|0.03|66.4|9.71|0.597|0.9385|80.1|27|163.6|1297|0|0|1P/Halley                               |                                                                                                                                                      |R   |4) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
60|8|4|ORI|Orionids                                |2007/08 |1|207.9|95.5|15.5|0.61|0.01|66.2|       |       |       |       |       |       |2733|0|0|1P/Halley                               |                                                                                                                                                      |T   |5) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
61|8|5|ORI|Orionids                                |2002/08 |1|208|95.5|15.2|0.78|0.02|65.4|5.47|0.5746|0.895|83.98|28|162.8|2536|0|0|1P/Halley                               |                                                                                                                                                      |R   |6) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
62|8|6|ORI|Orionids                                | annual |1|209|95.9|15.7|1.03|-0.05|66.3|6.87|0.578|0.944|82.2|28.3|163.9|3024|0|0|1P/Halley                               |                                                                                                                                                      |T   |7) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
63|8|7|ORI|Orionids                                | annual |-2|210.6|97.3|15.5|       |       |66.3|13.4|0.567|0.967|83.5|30.6|163.8|13279|0|0|                                        |                                                                                                                                                      |C   |8) Jenniskens et al., 2018 sub. to PSS
64|9|0|DRA|October Draconids                       | annual |1|203.9|274.7|52.4|       |       |16.7|2.392|0.995|0.584|178.2|203.9|25.5|7|0|0|21P/Giacobini-Zinner                    |                                                                                                                                                      |P   |1) <A href='http://adsabs.harvard.edu/abs/1994CoSka..24..101G' target=_blank>Gavajdova, 1995</A> 
65|9|1|DRA|October Draconids                       | annual |1|195.1|264.1|57.6|1.9|0.3|20.4|3.02|0.996|       |172.9|196.4|31.4|5|0|0|21P/Giacobini-Zinner                    |                                                                                                                                                      |    |2) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A> 
66|9|2|DRA|October Draconids                       |2002/06 |1|195.5|261.7|54.8|0|0|19.7|2.89|0.995|0.6561|171.9|196.6|30.3|20|0|0|21P/Giacobini-Zinner                    |                                                                                                                                                      |R   |3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
67|9|3|DRA|October Draconids                       | annual |1|195|262.9|55.7|0.34|-0.05|20.7|3.15|0.996|0.706|173.2|195|31.4|30|0|0|21P/Giacobini-Zinner                    |                                                                                                                                                      |T   |4) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
68|9|4|DRA|October Draconids                       |2011|-2|195.1|262.9|55.7|       |       |21.8|4.6|0.996|0.784|173.2|195.1|32.5|28|0|0|                                        |                                                                                                                                                      |C   |5) Jenniskens et al., 2018 sub. to PSS
69|9|5|DRA|October Draconids                       |2012|-2|195.5|263|55.7|       |       |20.7|3.36|0.996|0.704|173.2|195.5|31.5|1|0|0|                                        |                                                                                                                                                      |C   |6) Jenniskens et al., 2018 sub. to PSS
70|10|0|QUA|Quadrantids                             | annual |1|283.28|230|49.5|0.4|-0.2|41.36|3.14|0.979|       |172|283.3|72|85|0|0|2003 EH1                                |                                                                                                                                                      |    |1) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A> 
71|10|1|QUA|Quadrantids                             | annual |1|283.2|230.2|49.2|       |       |41.2|       |0.978|0.676|171.1|283.2|71.9|14|0|0|                                        |                                                                                                                                                      |P   |2) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
72|10|2|QUA|Quadrantids                             | 2002/06|1|283.5|231.7|48.5|0.72|-0.55|42|3.7|0.975|0.7367|168.5|283.2|72.5|881|0|0|2003 RH1                                |                                                                                                                                                      |R   |3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
73|10|3|QUA|Quadrantids                             |2007/08 |1|283.1|230|49|0.15|0.17|40|       |       |       |       |       |       |243|0|0|2003 EH1                                |                                                                                                                                                      |T   |4) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>  
74|10|4|QUA|Quadrantids                             |2002/08 |1|283|231.5|48.5|0.78|-0.38|41.7|3.35|0.9746|0.709|168.14|283|72.4|6614|0|0|2003 EH1                                |                                                                                                                                                      |R   |5) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
75|10|5|QUA|Quadrantids                             | annual |1|283|230.2|49.5|0.56|-0.25|40.7|2.82|0.979|0.657|171.4|283.3|71.2|1029|0|0|2003 EH1                                |                                                                                                                                                      |T   |6) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
76|10|6|QUA|Quadrantids                             | annual |-2|282.8|229.1|50.4|       |       |40.7|2.98|0.977|0.673|173.8|282.8|71|2171|0|0|                                        |                                                                                                                                                      |C   |7) Jenniskens et al., 2018 sub. to PSS
77|11|0|EVI|eta Virginids                           | annual |1|354|182.1|2.6|1|-0.37|29.2|2.562|0.382|       |349.1|280.5|3.5|7|0|0|D/1766 G1 (Helfenzrieder)?              |                                                                                                                                                      |    |1) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A> 
78|11|1|EVI|eta Virginids                           | annual |1|354|174.3|4.7|0.9|0.31|34.2|2.637|0.234|       |308|334.5|3.5|4|0|0|D/1766 G1 (Helfenzrieder)?              |                                                                                                                                                      |P   |2) <A href='http://adsabs.harvard.edu/abs/1971SCoA...12...14L' target=_blank>Lindblad, 1971</A> 
79|11|2|EVI|eta Virginids                           | annual |1|357|184.8|3.9|0.92|-0.4|26.6|2.47|0.46|0.812|281|355.7|5.4|57|0|0|D/1766 G1 (Helfenzrieder)?              |                                                                                                                                                      |T   |3) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
80|11|3|EVI|eta Virginids                           |2014|-2|356.4|185.6|3.2|       |       |27.7|2.45|0.428|0.825|285.1|356.4|5.4|31|0|0|                                        |                                                                                                                                                      |C   |4) Jenniskens et al., 2018 sub. to PSS
81|11|4|EVI|eta Virginids                           | annual |-2|357.2|184.8|3.7|       |       |26.6|2.43|0.463|0.809|281.4|357.3|5.2|133|0|0|                                        |                                                                                                                                                      |C   |5)Jenniskens et al., 2018 sub. to PSS
82|11|5|EVI|eta Virginids                           |2013|-2|355.1|184.1|4|       |       |27.4|2.46|0.437|0.822|284.1|355.1|5.5|37|0|0|                                        |                                                                                                                                                      |C   |6) Jenniskens et al., 2018 sub. to PSS
83|12|0|KCG|kappa Cygnids                           | annual |1|145.2|286.2|59.1|0|0|24.8|3.09|0.99|       |194|145|38|8|0|0|                                        |                                                                                                                                                      |    |1) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A> 
84|12|1|KCG|kappa Cygnids                           | annual |1|145.2|284|52.7|       |       |24|5.12|0.984|       |201.4|139.4|35.9|     |0|0|                                        |                                                                                                                                                      |P   |2) Dutch Meteor Society 2001
85|12|2|KCG|kappa Cygnids                           | annual |1|145|286|59|0.3|0.3|24.8|       |       |       |       |       |       |     |0|0|                                        |                                                                                                                                                      |    |3) IMO
