# Shower lookup table measured using GMN data up to May 18, 2023
# Using the wmpl.Utils.ShowerTableMeasurement script in WMPL
# 
# The table is sampled at 0.2 deg solar longitude. The SCE (Sun-centered 
# ecliptic) longitude is the ecliptic longitude minus the solar 
# longitude. The "Disp" column is the measured dispersion which changes 
# over time. A meteor is considered a shower member if it has been observed 
# within 1 deg of solar longitude of a table entry, within 10% of Vg, and
# within the listed dispersion.
#
# IAU showers not present in the table:
# XRI, BIN, OSE, NDD, LOP, FSO, DRG, MXA, HNJ, FCL, LAP, NMV, AAC, VOL, ZPH, 
# ILU, EGR, TPG, JDP, ODS, CRN, OEV, TSC, MBA, BEC, AST, ZPA, EVO, NMD, JMD, 
# OAB, SEC, FVI, AGE, ATH, OVI, PPE, FBO, OMH, 
# 
# Sol  SCE lon  SCE lat       Vg  Disp  IAU IAU
# deg      deg      deg     km/s  deg    No  cd
# 
  7.2  192.690   -3.218   30.514  3.14  651 OAV
  7.2  204.767   -4.569   38.380  3.60  750 SMV
  7.2  240.221   12.673   63.330  3.41  862 SSR
  7.2  260.448    6.594   70.849  1.50  893 EOP
  7.4  296.008   59.956   43.549  5.34   40 ZCY
  7.4  210.904    5.394   40.675  3.42  448 AAL
  7.4  263.178   33.412   61.400  3.64  599 POS
  7.4  175.635   28.016   27.058  3.13  647 BCO
  7.4  265.598   23.869   65.948  4.00  648 TAL
  7.4  192.617   -3.237   30.473  3.14  651 OAV
  7.4  204.741   -4.564   38.368  3.60  750 SMV
  7.4  240.215   12.666   63.333  3.41  862 SSR
  7.4  260.400    6.594   70.850  1.50  893 EOP
  7.6  296.017   59.935   43.544  5.34   40 ZCY
  7.6  210.895    5.375   40.685  3.41  448 AAL
  7.6  263.190   33.406   61.399  3.67  599 POS
  7.6  175.601   28.096   27.047  3.15  647 BCO
  7.6  265.595   23.877   65.940  3.99  648 TAL
  7.6  192.545   -3.257   30.431  3.14  651 OAV
  7.6  204.714   -4.559   38.356  3.60  750 SMV
  7.6  240.208   12.659   63.336  3.40  862 SSR
  7.8  296.025   59.913   43.538  5.34   40 ZCY
  7.8  210.886    5.356   40.696  3.39  448 AAL
  7.8  263.203   33.400   61.397  3.70  599 POS
  7.8  175.567   28.176   27.036  3.17  647 BCO
  7.8  265.592   23.885   65.932  3.98  648 TAL
  7.8  192.472   -3.276   30.390  3.14  651 OAV
  7.8  204.688   -4.553   38.343  3.60  750 SMV
  7.8  240.202   12.651   63.338  3.40  862 SSR
  8.0  296.033   59.892   43.533  5.34   40 ZCY
  8.0  210.876    5.337   40.707  3.38  448 AAL
  8.0  263.215   33.395   61.395  3.73  599 POS
  8.0  175.532   28.256   27.025  3.19  647 BCO
  8.0  265.589   23.893   65.925  3.98  648 TAL
  8.0  192.399   -3.295   30.349  3.14  651 OAV
  8.0  204.662   -4.548   38.331  3.60  750 SMV
  8.0  240.196   12.644   63.341  3.40  862 SSR
  8.2  296.042   59.870   43.528  5.34   40 ZCY
  8.2  210.867    5.318   40.718  3.37  448 AAL
  8.2  263.228   33.389   61.394  3.76  599 POS
  8.2  175.498   28.336   27.014  3.21  647 BCO
  8.2  265.586   23.901   65.917  3.97  648 TAL
